rep,mean_abs_r,h1_count,h1_entropy,h1_total_persistence,h1_mean_lifetime,h1_max_lifetime,max_betti1
0,0.37172117078935435,28,2.9981341208475207,1.42467350512743,0.05088119661169393,0.1492636799812317,10
1,0.3571800007737734,43,3.4103059283549757,1.7768270447850227,0.04132155918104704,0.16198945045471191,12
2,0.358192817273434,35,3.1692410106869473,1.7305361814796925,0.049443890899419786,0.2022228240966797,11
3,0.3778797732140785,32,3.094092783029164,1.2926925644278526,0.040396642638370395,0.16304528713226318,9
4,0.38793472870452766,43,3.3422927136497833,1.5971659421920776,0.03714339400446692,0.15715479850769043,9
5,0.35855580488250965,35,3.1083524035308203,1.5964433252811432,0.04561266643660409,0.1392608880996704,15
6,0.3668362343970372,39,3.333662421457111,1.660628154873848,0.042580209099329434,0.12336760759353638,19
7,0.3500594398584699,44,3.3514050908316766,2.21094761043787,0.05024880932813341,0.19166436791419983,15
8,0.38215852856454513,28,3.1579152787789893,1.1636567264795303,0.04155916880284037,0.098416268825531,9
9,0.33113317342018356,32,3.0227008911207722,1.593553975224495,0.04979856172576547,0.16621285676956177,11
10,0.38391668220075204,34,3.1329090513003344,1.6016672067344189,0.04710785902160056,0.1645457148551941,14
11,0.3765631803489718,39,3.254331100350333,1.4941926822066307,0.03831263287709309,0.13603776693344116,10
12,0.364792178060033,41,3.339155095122208,1.9085276573896408,0.04654945505828392,0.18033289909362793,16
13,0.3832399295162862,38,3.11145510559329,1.6037789434194565,0.04220470903735412,0.15426504611968994,14
14,0.38379600873660413,34,3.1337410842602025,1.6107251197099686,0.04737426822676378,0.19266462326049805,14
15,0.3562769018116848,32,3.1452348264691317,1.4267296344041824,0.0445853010751307,0.12636840343475342,11
16,0.39552291248272203,23,2.821253473757301,1.0565157383680344,0.04593546688556671,0.1448180079460144,10
17,0.36242143563085394,42,3.31358232790212,1.8796334192156792,0.04475317664799236,0.15548765659332275,12
18,0.35551805881380555,36,3.1514623255928327,1.585940346121788,0.044053898503383,0.18343985080718994,10
19,0.37279237200206816,39,3.3126954996886937,1.7878301367163658,0.045841798377342716,0.16415667533874512,14
20,0.37217525326831574,31,2.9855203348882253,1.362305387854576,0.0439453350920831,0.19061380624771118,9
21,0.3592417900893709,38,3.3400545574666536,1.6751321852207184,0.04408242592686101,0.13298141956329346,14
22,0.3652359481009142,32,3.22622808713544,1.6350654289126396,0.05109579465351999,0.14843010902404785,11
23,0.37609863499354607,35,3.0891825448272496,1.6450124606490135,0.04700035601854324,0.20238953828811646,15
24,0.35505351345837993,50,3.6350824002646993,2.371547721326351,0.047430954426527026,0.12870246171951294,18
25,0.34743307740195073,32,3.1458521371229984,1.676632471382618,0.05239476473070681,0.1663239598274231,9
26,0.3645676014082675,40,3.3030535186315424,1.7209782898426056,0.04302445724606514,0.1954987645149231,11
27,0.37253581339401604,35,3.2236221622251615,1.8382326886057854,0.05252093396016529,0.17132538557052612,16
28,0.3439931802434573,42,3.380572019207937,2.121422663331032,0.050510063412643615,0.19077518582344055,9
29,0.3412834085417539,41,3.3612992089827496,1.5164768919348717,0.03698724126670419,0.114865243434906,13
30,0.36074769362797693,40,3.442003711354027,1.7860518768429756,0.04465129692107439,0.1366490125656128,14
31,0.3603392995944726,39,3.2998896866346934,1.4792997986078262,0.03793076406686734,0.15776604413986206,11
32,0.3564308651137272,33,3.0972296255603573,1.6512918695807457,0.0500391475630529,0.1704917550086975,9
33,0.36545840792625245,43,3.284172454700328,1.863961860537529,0.04334795024505882,0.21000272035598755,14
34,0.36739355309340294,37,3.262606159101196,1.1140626780688763,0.03010980210996963,0.10869991779327393,13
