rep,taxa,d_h1_count,d_h1_entropy,d_h1_total_persistence,d_h1_mean_lifetime,d_h1_max_lifetime,d_max_betti1,p_h1_count,p_h1_entropy,p_h1_total_persistence,p_h1_mean_lifetime,p_h1_max_lifetime,p_max_betti1,delta_h1_count,delta_h1_entropy,delta_h1_total_persistence,delta_h1_mean_lifetime,delta_h1_max_lifetime,delta_max_betti1
105,paper_taxa,-0.0964,-0.1513,-0.8377,-0.9883,-0.5616,-0.5283,0.353293,0.113772,0.001996,0.001996,0.001996,0.001996,-0.49,-0.0233,-0.279,-0.007,-0.018,-1.47
106,paper_taxa,1.4988,1.6702,0.2895,-0.9931,-1.2275,0.993,0.001996,0.001996,0.007984,0.001996,0.001996,0.001996,7.4,0.2772,0.099,-0.0079,-0.0448,2.66
107,paper_taxa,-0.8902,-0.79,-1.6132,-1.3714,-0.9953,-0.7648,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-4.48,-0.117,-0.5813,-0.0093,-0.0313,-2.205
108,paper_taxa,0.0682,0.2517,-0.5323,-0.7367,-0.9612,0.9526,0.497006,0.013972,0.001996,0.001996,0.001996,0.001996,0.345,0.0374,-0.1985,-0.0056,-0.032,2.91
109,paper_taxa,-1.6689,-1.5089,-1.6509,-0.6287,-0.458,-0.5649,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.965,-0.2397,-0.5972,-0.0041,-0.014,-1.795
110,paper_taxa,-0.6661,-0.5798,-1.2874,-0.984,-0.9493,-0.2432,0.001996,0.001996,0.001996,0.001996,0.001996,0.017964,-3.665,-0.0959,-0.4211,-0.0063,-0.0296,-0.725
111,paper_taxa,0.4254,0.6567,-0.2805,-0.8383,-1.041,1.0415,0.001996,0.001996,0.003992,0.001996,0.001996,0.001996,2.24,0.1097,-0.0916,-0.0059,-0.0355,2.7
112,paper_taxa,-0.1896,-0.1331,-0.5808,-0.6239,-0.6529,0.1323,0.06986,0.199601,0.001996,0.001996,0.001996,0.205589,-0.96,-0.0204,-0.208,-0.0043,-0.0209,0.395
113,paper_taxa,0.6257,0.5826,-0.1209,-0.8678,-0.4504,-0.0157,0.001996,0.001996,0.165669,0.001996,0.001996,0.872255,3.455,0.0962,-0.0405,-0.006,-0.0139,-0.045
114,paper_taxa,0.3711,0.5479,-0.4839,-1.085,-0.8115,-0.0451,0.001996,0.001996,0.001996,0.001996,0.001996,0.668663,2.02,0.0904,-0.1682,-0.0075,-0.0263,-0.14
115,paper_taxa,0.5721,0.7902,-0.2691,-1.0849,-1.2549,0.5473,0.001996,0.001996,0.005988,0.001996,0.001996,0.001996,3.085,0.1311,-0.0926,-0.0069,-0.0391,1.69
116,paper_taxa,-0.7446,-0.6851,-1.5242,-1.2557,-0.9189,-0.6358,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-3.81,-0.1122,-0.5434,-0.0093,-0.0298,-1.875
117,paper_taxa,0.5887,0.6496,0.0892,-0.5124,-0.7427,0.3707,0.001996,0.001996,0.379242,0.001996,0.001996,0.005988,2.95,0.1001,0.0296,-0.0035,-0.0255,1.095
118,paper_taxa,-1.045,-0.888,-1.4271,-0.8342,-1.0088,-0.0503,0.001996,0.001996,0.001996,0.001996,0.001996,0.658683,-5.68,-0.1386,-0.5189,-0.0062,-0.0363,-0.155
119,paper_taxa,0.3783,0.5084,-0.414,-0.9248,-0.804,0.0221,0.001996,0.001996,0.001996,0.001996,0.001996,0.840319,2.085,0.0868,-0.1653,-0.0072,-0.0273,0.07
120,paper_taxa,0.9311,1.0375,-0.0491,-0.9258,-1.0569,0.5931,0.001996,0.001996,0.638723,0.001996,0.001996,0.001996,4.735,0.1726,-0.0161,-0.0074,-0.0362,1.615
121,paper_taxa,-1.1427,-1.1347,-2.1041,-1.6339,-0.9417,-1.145,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-6.12,-0.1795,-0.7238,-0.0104,-0.0278,-3.44
122,paper_taxa,0.2753,0.4092,-0.3038,-0.6945,-0.8609,0.0895,0.011976,0.001996,0.001996,0.001996,0.001996,0.377246,1.47,0.0681,-0.1024,-0.0049,-0.029,0.27
123,paper_taxa,-0.1766,-0.0059,-1.0655,-1.248,-1.2933,-0.3896,0.095808,0.952096,0.001996,0.001996,0.001996,0.001996,-1.0,-0.001,-0.3869,-0.0093,-0.0427,-1.3
124,paper_taxa,0.6154,0.6422,0.1647,-0.4368,-0.4621,0.4177,0.001996,0.001996,0.101796,0.001996,0.001996,0.001996,3.325,0.1096,0.0557,-0.003,-0.0145,1.265
125,paper_taxa,0.6972,0.8382,-0.1949,-1.0033,-0.9178,0.4017,0.001996,0.001996,0.035928,0.001996,0.001996,0.003992,3.74,0.1365,-0.0655,-0.0074,-0.0328,1.15
126,paper_taxa,-1.6375,-1.4656,-2.2522,-1.2688,-1.4392,-0.9174,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.955,-0.2295,-0.794,-0.0089,-0.0515,-2.685
127,paper_taxa,-0.2667,-0.2007,-0.6303,-0.5822,-0.8267,0.0242,0.005988,0.025948,0.001996,0.001996,0.001996,0.838323,-1.37,-0.0322,-0.2188,-0.004,-0.0267,0.075
128,paper_taxa,-0.339,-0.2202,-0.8721,-0.8507,-1.0591,0.1859,0.001996,0.033932,0.001996,0.001996,0.001996,0.07984,-1.84,-0.0376,-0.314,-0.0057,-0.0364,0.555
129,paper_taxa,0.2409,0.3249,-0.7536,-1.2282,-1.1337,0.1686,0.027944,0.005988,0.001996,0.001996,0.001996,0.103792,1.205,0.0508,-0.2627,-0.0089,-0.0384,0.45
130,paper_taxa,-0.5529,-0.5288,-0.922,-0.557,-0.4025,-0.4087,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-2.92,-0.0863,-0.2972,-0.0041,-0.0129,-1.16
131,paper_taxa,-1.2154,-1.1177,-1.691,-1.0204,-1.1594,-0.7408,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-6.3,-0.1709,-0.5937,-0.0071,-0.0355,-2.135
132,paper_taxa,1.0181,1.138,0.4262,-0.6361,-0.8425,1.1336,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,5.63,0.1933,0.1379,-0.0041,-0.0279,3.555
133,paper_taxa,2.2003,2.1283,1.1214,-0.6123,-0.5728,1.2421,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,11.265,0.3777,0.3893,-0.0049,-0.0197,3.53
134,paper_taxa,-0.0248,-0.0582,-0.7224,-0.9442,-0.6291,-0.2464,0.800399,0.526946,0.001996,0.001996,0.001996,0.007984,-0.125,-0.0085,-0.2429,-0.0066,-0.02,-0.69
135,paper_taxa,0.0678,0.0802,-0.2463,-0.3922,-0.2107,0.1036,0.493014,0.41517,0.015968,0.001996,0.061876,0.345309,0.355,0.0127,-0.0889,-0.0028,-0.0071,0.31
136,paper_taxa,-0.3757,-0.2186,-1.3026,-1.4741,-1.6648,-0.4709,0.001996,0.02994,0.001996,0.001996,0.001996,0.001996,-2.06,-0.0344,-0.4775,-0.01,-0.0504,-1.4
137,paper_taxa,-1.0468,-0.9172,-1.7592,-1.1938,-1.0749,-0.7824,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-5.585,-0.1469,-0.5955,-0.0084,-0.0346,-2.215
138,paper_taxa,0.5724,0.5493,-0.1331,-0.7894,-0.7077,0.1849,0.001996,0.001996,0.189621,0.001996,0.001996,0.073852,2.96,0.0882,-0.0447,-0.0055,-0.0228,0.54
139,paper_taxa,-0.9685,-0.8235,-1.1375,-0.6206,-0.9392,-0.4159,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-5.465,-0.1414,-0.4392,-0.0045,-0.0305,-1.3
