rep,taxa,d_h1_count,d_h1_entropy,d_h1_total_persistence,d_h1_mean_lifetime,d_h1_max_lifetime,d_max_betti1,p_h1_count,p_h1_entropy,p_h1_total_persistence,p_h1_mean_lifetime,p_h1_max_lifetime,p_max_betti1,delta_h1_count,delta_h1_entropy,delta_h1_total_persistence,delta_h1_mean_lifetime,delta_h1_max_lifetime,delta_max_betti1
-1,detect_taxa,0.7987,0.7264,-0.148,-1.1546,-0.6683,-0.0924,0.001996,0.001996,0.157685,0.001996,0.001996,0.357285,6.51,0.0991,-0.0848,-0.0064,-0.0189,-0.44
0,detect_taxa,0.1498,0.1224,-0.243,-0.5625,-0.3712,0.1122,0.095808,0.197605,0.011976,0.001996,0.001996,0.271457,1.23,0.0165,-0.1311,-0.0028,-0.0096,0.545
1,detect_taxa,-0.6059,-0.5754,-1.2434,-1.1595,-0.6233,-0.7568,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-4.95,-0.0753,-0.6638,-0.0058,-0.0164,-3.58
2,detect_taxa,0.0844,0.1224,-0.7645,-1.1536,-0.932,-0.0803,0.439122,0.229541,0.001996,0.001996,0.001996,0.421158,0.665,0.0152,-0.4089,-0.0065,-0.0271,-0.385
3,detect_taxa,2.4058,2.4119,1.409,-0.7631,-1.0385,2.122,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,18.61,0.3454,0.709,-0.004,-0.0308,9.835
4,detect_taxa,-0.2344,-0.0521,-0.8159,-1.0256,-1.4251,0.2819,0.021956,0.562874,0.001996,0.001996,0.001996,0.011976,-1.9,-0.0068,-0.4335,-0.0049,-0.0417,1.31
5,detect_taxa,0.4027,0.4953,-0.4418,-1.2152,-1.0666,0.0473,0.001996,0.001996,0.001996,0.001996,0.001996,0.602794,3.39,0.0654,-0.2293,-0.0063,-0.0324,0.25
6,detect_taxa,0.4591,0.59,-0.2321,-0.8932,-1.2404,0.7466,0.001996,0.001996,0.01996,0.001996,0.001996,0.001996,3.51,0.0754,-0.1206,-0.0046,-0.0346,3.395
7,detect_taxa,-0.1359,-0.083,-0.7389,-0.9701,-0.7938,-0.1325,0.183633,0.43513,0.001996,0.001996,0.001996,0.183633,-1.145,-0.0109,-0.3993,-0.005,-0.0216,-0.67
8,detect_taxa,-0.565,-0.3866,-0.8854,-0.6353,-1.0241,0.303,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-4.73,-0.0516,-0.4707,-0.0033,-0.0273,1.445
9,detect_taxa,0.8982,0.883,0.0819,-0.908,-0.8297,0.6694,0.001996,0.001996,0.403194,0.001996,0.001996,0.001996,6.975,0.1183,0.0427,-0.0048,-0.0246,3.455
10,detect_taxa,0.855,0.835,0.104,-0.9632,-0.5649,0.186,0.001996,0.001996,0.289421,0.001996,0.001996,0.063872,7.04,0.1165,0.0529,-0.0048,-0.0162,0.915
11,detect_taxa,1.1349,1.317,0.3638,-0.8562,-1.1958,1.2651,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,9.54,0.1841,0.1961,-0.0045,-0.0299,6.055
12,detect_taxa,-0.0387,0.1129,-0.1391,-0.1582,-0.8027,0.695,0.730539,0.279441,0.167665,0.11976,0.001996,0.001996,-0.325,0.0154,-0.0715,-0.0008,-0.0224,3.305
13,detect_taxa,0.8977,0.8733,0.0154,-0.9883,-0.6292,-0.0228,0.001996,0.001996,0.866267,0.001996,0.001996,0.834331,6.815,0.1118,0.0079,-0.0053,-0.0181,-0.11
14,detect_taxa,-0.5212,-0.3891,-1.4651,-1.4558,-0.9881,-0.5868,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-3.92,-0.0487,-0.7014,-0.0072,-0.0267,-2.85
15,detect_taxa,0.8713,0.9616,0.3077,-0.6086,-0.7562,0.9688,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,6.87,0.1277,0.1554,-0.0031,-0.0215,4.735
16,detect_taxa,0.8798,0.9945,0.2147,-0.794,-1.0476,1.4277,0.001996,0.001996,0.035928,0.001996,0.001996,0.001996,7.09,0.1325,0.1084,-0.004,-0.0307,6.42
17,detect_taxa,0.7637,0.791,0.2114,-0.5533,-0.4254,0.6774,0.001996,0.001996,0.025948,0.001996,0.001996,0.001996,5.99,0.1105,0.1099,-0.0029,-0.0131,3.37
18,detect_taxa,0.7051,0.6491,0.1983,-0.4709,-0.2285,0.6023,0.001996,0.001996,0.045908,0.001996,0.043912,0.001996,5.57,0.0856,0.1075,-0.0025,-0.0061,3.0
19,detect_taxa,0.7692,0.7821,0.3499,-0.3777,-0.4098,0.95,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,6.005,0.102,0.1785,-0.0019,-0.0109,4.59
20,detect_taxa,0.993,1.1264,0.1648,-1.0179,-1.1224,0.881,0.001996,0.001996,0.101796,0.001996,0.001996,0.001996,8.105,0.1534,0.0856,-0.0052,-0.0331,4.16
21,detect_taxa,-0.1011,-0.1629,-0.7799,-1.0457,-0.2923,-0.5556,0.295409,0.127745,0.001996,0.001996,0.005988,0.001996,-0.76,-0.0212,-0.389,-0.0053,-0.0081,-2.745
22,detect_taxa,-1.3327,-1.2793,-1.9043,-1.1743,-0.7795,-0.8997,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-10.75,-0.1588,-0.958,-0.0056,-0.0221,-4.255
23,detect_taxa,-0.1107,-0.0103,-0.8947,-1.2292,-1.087,-0.2663,0.269461,0.942116,0.001996,0.001996,0.001996,0.013972,-0.86,-0.0013,-0.4713,-0.0064,-0.0321,-1.245
24,detect_taxa,-0.4541,-0.3222,-1.0417,-1.0309,-0.6379,-0.4157,0.001996,0.003992,0.001996,0.001996,0.001996,0.001996,-3.565,-0.0415,-0.5387,-0.0051,-0.0167,-2.02
25,detect_taxa,2.4025,2.3783,1.4603,-0.5919,-0.3778,1.2109,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,19.085,0.3373,0.7664,-0.0034,-0.011,6.03
26,detect_taxa,-1.0133,-0.9141,-1.5184,-1.1727,-0.9235,-0.5958,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.305,-0.1218,-0.8592,-0.006,-0.0256,-3.23
27,detect_taxa,0.8146,0.8949,0.1691,-0.763,-0.9958,1.0634,0.001996,0.001996,0.091816,0.001996,0.001996,0.001996,6.39,0.1182,0.0815,-0.0039,-0.0289,4.8
28,detect_taxa,1.2685,1.3174,0.2283,-1.1818,-1.1201,0.8123,0.001996,0.001996,0.013972,0.001996,0.001996,0.001996,9.56,0.1722,0.1137,-0.0061,-0.0316,3.755
29,detect_taxa,-0.1356,-0.1935,-1.0766,-1.3915,-0.8662,-0.7467,0.161677,0.053892,0.001996,0.001996,0.001996,0.001996,-1.05,-0.0229,-0.5449,-0.0071,-0.0222,-3.395
30,detect_taxa,-0.5689,-0.4622,-1.118,-1.0516,-1.0189,0.0922,0.001996,0.001996,0.001996,0.001996,0.001996,0.341317,-4.745,-0.062,-0.5738,-0.005,-0.0275,0.46
31,detect_taxa,0.1438,0.1968,-0.8486,-1.4779,-1.5272,-0.1538,0.161677,0.051896,0.001996,0.001996,0.001996,0.145709,1.18,0.0274,-0.4527,-0.0078,-0.0435,-0.805
32,detect_taxa,-0.1457,-0.0554,-0.9032,-1.1597,-0.8438,-0.2975,0.145709,0.558882,0.001996,0.001996,0.001996,0.001996,-1.175,-0.0075,-0.4678,-0.006,-0.0244,-1.505
33,detect_taxa,-0.788,-0.6506,-1.0904,-0.6467,-0.9268,-0.0593,0.001996,0.001996,0.001996,0.001996,0.001996,0.55489,-6.495,-0.086,-0.5733,-0.0034,-0.0275,-0.3
34,detect_taxa,1.3747,1.5863,0.1561,-1.3573,-1.5911,0.9488,0.001996,0.001996,0.11976,0.001996,0.001996,0.001996,10.08,0.1893,0.0754,-0.0071,-0.0462,4.38
35,detect_taxa,-0.4315,-0.3905,-0.9106,-0.82,-0.6869,-0.0086,0.001996,0.001996,0.001996,0.001996,0.001996,0.928144,-3.47,-0.0509,-0.4579,-0.0041,-0.0187,-0.045
36,detect_taxa,0.8739,0.961,0.1952,-0.8398,-1.0808,0.8385,0.001996,0.001996,0.06986,0.001996,0.001996,0.001996,7.55,0.1394,0.1048,-0.0043,-0.0313,4.06
37,detect_taxa,-1.6772,-1.6,-2.0785,-1.1478,-0.9087,-1.0939,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-14.405,-0.2171,-1.1024,-0.0053,-0.0251,-5.65
38,detect_taxa,-0.5532,-0.3941,-0.8763,-0.7199,-0.7834,-0.1934,0.001996,0.001996,0.001996,0.001996,0.001996,0.073852,-4.335,-0.05,-0.4732,-0.0036,-0.0236,-0.975
39,detect_taxa,0.2161,0.2403,0.2044,0.111,-0.3824,1.107,0.045908,0.027944,0.0499,0.279441,0.001996,0.001996,1.745,0.0326,0.1136,0.0006,-0.0103,5.59
40,detect_taxa,0.0839,0.1696,-0.6033,-0.9883,-0.8642,0.0974,0.403194,0.077844,0.001996,0.001996,0.001996,0.325349,0.665,0.0217,-0.3115,-0.0051,-0.0237,0.485
41,detect_taxa,-0.5067,-0.4871,-1.1176,-1.0431,-1.0058,-0.238,0.001996,0.001996,0.001996,0.001996,0.001996,0.021956,-4.02,-0.0628,-0.554,-0.0052,-0.0295,-1.19
42,detect_taxa,-0.3981,-0.4169,-0.4683,-0.2326,-0.3744,0.197,0.001996,0.001996,0.001996,0.01996,0.001996,0.0499,-3.435,-0.0575,-0.2571,-0.0012,-0.0099,1.04
43,detect_taxa,0.3417,0.4311,-0.4441,-1.0754,-1.0376,0.1798,0.005988,0.001996,0.001996,0.001996,0.001996,0.093812,2.605,0.0538,-0.2176,-0.0053,-0.0267,0.86
44,detect_taxa,2.8491,2.9034,1.8541,-0.5539,-0.787,2.0492,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,22.37,0.4228,0.9473,-0.0033,-0.0235,9.36
45,detect_taxa,-0.0925,-0.0145,-0.9174,-1.2937,-1.1813,-0.3695,0.413174,0.884232,0.001996,0.001996,0.001996,0.001996,-0.815,-0.0021,-0.5026,-0.007,-0.0305,-1.93
46,detect_taxa,0.3875,0.399,-0.323,-0.9529,-0.6121,0.0409,0.003992,0.001996,0.003992,0.001996,0.001996,0.696607,3.08,0.0526,-0.1656,-0.0049,-0.0179,0.2
47,detect_taxa,0.3121,0.4147,0.118,-0.1898,-0.6666,0.9099,0.001996,0.001996,0.289421,0.06986,0.001996,0.001996,2.48,0.0568,0.0607,-0.001,-0.0182,4.63
48,detect_taxa,-0.7186,-0.7143,-1.3318,-1.1734,-0.7078,-0.7103,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-5.87,-0.0955,-0.6873,-0.0057,-0.0185,-3.555
49,detect_taxa,-0.4036,-0.4944,-0.9279,-0.9521,-0.1944,-0.882,0.003992,0.001996,0.001996,0.001996,0.061876,0.001996,-3.215,-0.0616,-0.5019,-0.0048,-0.005,-4.525
50,detect_taxa,0.7724,0.822,-0.0271,-0.8754,-0.8425,0.4917,0.001996,0.001996,0.810379,0.001996,0.001996,0.001996,5.995,0.1076,-0.0144,-0.005,-0.0225,2.4
51,detect_taxa,0.6172,0.7798,0.1023,-0.6139,-0.9828,1.2476,0.001996,0.001996,0.311377,0.001996,0.001996,0.001996,4.835,0.0988,0.0466,-0.0031,-0.0286,5.26
52,detect_taxa,1.0635,1.1047,0.229,-0.9651,-0.7092,0.8934,0.001996,0.001996,0.023952,0.001996,0.001996,0.001996,8.53,0.1464,0.1185,-0.005,-0.0189,4.175
53,detect_taxa,-0.3931,-0.3521,-1.26,-1.3842,-1.067,-0.491,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-2.945,-0.0437,-0.6109,-0.0069,-0.0291,-2.295
54,detect_taxa,1.4579,1.4359,0.6988,-0.6847,-0.4988,0.8995,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,11.8,0.2014,0.3703,-0.0035,-0.0132,4.51
55,detect_taxa,0.7351,0.7983,0.0345,-0.8286,-0.6155,0.1398,0.001996,0.001996,0.754491,0.001996,0.001996,0.187625,5.695,0.1052,0.018,-0.0043,-0.0168,0.69
56,detect_taxa,0.9239,1.0838,0.2551,-0.7017,-1.1022,1.1162,0.001996,0.001996,0.011976,0.001996,0.001996,0.001996,7.295,0.1438,0.1356,-0.0037,-0.0334,5.365
57,detect_taxa,0.6824,0.7775,0.0285,-0.7528,-1.1992,1.0872,0.001996,0.001996,0.746507,0.001996,0.001996,0.001996,5.245,0.0994,0.0147,-0.0039,-0.0358,4.83
58,detect_taxa,-0.9324,-0.7681,-1.0639,-0.5127,-0.8084,0.0041,0.001996,0.001996,0.001996,0.001996,0.001996,0.972056,-7.33,-0.0981,-0.5545,-0.0027,-0.0236,0.02
59,detect_taxa,-1.5354,-1.4146,-1.7996,-0.871,-0.7342,-0.8029,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-12.425,-0.1899,-0.9454,-0.0044,-0.022,-3.925
60,detect_taxa,1.6779,1.7583,0.8919,-0.5301,-0.6069,1.4118,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,13.24,0.2396,0.4838,-0.0031,-0.0175,6.705
61,detect_taxa,-0.0921,0.1141,-0.6726,-0.9064,-1.2082,0.6987,0.41517,0.245509,0.001996,0.001996,0.001996,0.001996,-0.68,0.0147,-0.3339,-0.0045,-0.0365,3.32
62,detect_taxa,1.5102,1.5155,0.7216,-0.5256,-0.4896,1.1419,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,12.015,0.2083,0.4135,-0.0029,-0.0145,5.99
63,detect_taxa,1.0736,1.1792,0.614,-0.363,-0.6753,1.2413,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,8.435,0.1553,0.3116,-0.0018,-0.0187,5.92
64,detect_taxa,1.5057,1.5462,0.6072,-0.9619,-0.9845,0.9008,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,11.65,0.1993,0.2908,-0.005,-0.0285,4.21
65,detect_taxa,1.6155,1.6795,0.7489,-0.7508,-1.0728,1.6721,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,13.22,0.2404,0.4161,-0.004,-0.0325,7.81
66,detect_taxa,1.6809,1.6699,0.8486,-0.5481,-0.443,1.1402,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,12.415,0.2084,0.4415,-0.003,-0.0121,6.09
67,detect_taxa,0.8933,1.0898,-0.0491,-1.1541,-1.1654,0.6122,0.001996,0.001996,0.598802,0.001996,0.001996,0.001996,6.865,0.1412,-0.0245,-0.006,-0.032,2.945
68,detect_taxa,0.1677,0.3065,-0.5501,-1.0004,-1.4323,0.9805,0.10978,0.003992,0.001996,0.001996,0.001996,0.001996,1.31,0.0404,-0.2836,-0.0052,-0.0432,4.735
69,detect_taxa,0.963,0.9549,0.6283,-0.2125,-0.216,0.7168,0.001996,0.001996,0.001996,0.025948,0.045908,0.001996,7.95,0.1331,0.323,-0.001,-0.0059,3.395
70,detect_taxa,0.6774,0.7751,0.2215,-0.4378,-0.7328,1.0869,0.001996,0.001996,0.023952,0.001996,0.001996,0.001996,5.26,0.1013,0.1184,-0.0024,-0.0227,5.34
71,detect_taxa,0.9054,0.9835,0.2522,-0.7129,-0.7416,0.6691,0.001996,0.001996,0.00998,0.001996,0.001996,0.001996,7.205,0.1349,0.1299,-0.0037,-0.0209,3.195
72,detect_taxa,1.7573,2.0368,0.6041,-1.1823,-1.5972,1.4597,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,13.365,0.2572,0.2914,-0.0065,-0.0477,6.535
73,detect_taxa,1.3222,1.3557,0.4326,-0.8713,-0.885,1.0946,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,10.145,0.1733,0.2212,-0.0048,-0.0259,5.195
74,detect_taxa,1.3648,1.3175,0.4612,-0.8706,-0.4329,0.2938,0.001996,0.001996,0.001996,0.001996,0.001996,0.003992,10.515,0.1804,0.2425,-0.0048,-0.0123,1.44
75,detect_taxa,-1.0313,-0.9346,-1.9264,-1.6681,-1.0537,-0.8877,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.29,-0.1188,-0.9811,-0.0078,-0.0296,-4.4
76,detect_taxa,0.7816,0.8971,0.3212,-0.4601,-1.1588,1.5716,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,6.175,0.1217,0.1637,-0.0023,-0.0348,7.62
77,detect_taxa,1.4329,1.475,1.1751,0.1194,-0.3235,1.5891,0.001996,0.001996,0.001996,0.245509,0.007984,0.001996,11.66,0.2156,0.6266,0.0006,-0.0085,7.595
78,detect_taxa,0.4004,0.4152,0.0134,-0.4765,-0.603,1.1422,0.001996,0.001996,0.902196,0.001996,0.001996,0.001996,3.195,0.0554,0.0069,-0.0023,-0.0174,5.18
79,detect_taxa,-0.5022,-0.4229,-0.8533,-0.6884,-0.7669,-0.2004,0.001996,0.001996,0.001996,0.001996,0.001996,0.057884,-3.92,-0.0538,-0.4366,-0.0034,-0.0209,-0.985
80,detect_taxa,1.0083,0.9826,0.4331,-0.5252,-0.4243,0.6396,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,8.045,0.1344,0.2353,-0.0026,-0.0119,3.31
81,detect_taxa,-0.3026,-0.2374,-0.9149,-0.9842,-0.9666,0.2757,0.005988,0.025948,0.001996,0.001996,0.001996,0.003992,-2.3,-0.0292,-0.4875,-0.0054,-0.0286,1.325
82,detect_taxa,0.0731,0.1567,-0.4145,-0.7689,-0.8353,0.4546,0.451098,0.117764,0.001996,0.001996,0.001996,0.001996,0.58,0.021,-0.2089,-0.0038,-0.0239,2.1
83,detect_taxa,-1.0799,-0.9803,-1.7657,-1.3851,-0.7134,-1.2304,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-9.19,-0.1284,-0.9377,-0.0066,-0.0182,-6.11
84,detect_taxa,0.6512,0.6711,0.0164,-0.7378,-0.9355,1.6706,0.001996,0.001996,0.850299,0.001996,0.001996,0.001996,5.145,0.0918,0.0085,-0.004,-0.0267,7.655
85,detect_taxa,0.9996,1.0764,0.4627,-0.5183,-0.7377,1.1244,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,8.0,0.1463,0.2381,-0.0026,-0.0204,5.34
86,detect_taxa,-0.2245,-0.1663,-0.4502,-0.4518,-0.4441,-0.1469,0.025948,0.095808,0.001996,0.001996,0.001996,0.123752,-1.745,-0.0214,-0.2396,-0.0023,-0.0124,-0.735
87,detect_taxa,0.3231,0.3225,-0.5951,-1.3417,-0.9307,-0.1132,0.001996,0.003992,0.001996,0.001996,0.001996,0.267465,2.44,0.0414,-0.2971,-0.0065,-0.0241,-0.555
88,detect_taxa,1.177,1.2918,0.4096,-0.7078,-0.7336,1.1074,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,9.7,0.175,0.2226,-0.004,-0.0211,5.43
89,detect_taxa,0.2896,0.3207,0.0253,-0.3641,-0.3533,0.6908,0.003992,0.003992,0.796407,0.001996,0.001996,0.001996,2.34,0.0437,0.0135,-0.0017,-0.0096,3.26
90,detect_taxa,-0.013,-0.0217,-0.3519,-0.5347,-0.401,-0.1627,0.92016,0.826347,0.001996,0.001996,0.003992,0.0998,-0.1,-0.0028,-0.1806,-0.0027,-0.0104,-0.805
91,detect_taxa,0.8882,0.9491,-0.179,-1.3098,-1.1011,0.5673,0.001996,0.001996,0.095808,0.001996,0.001996,0.001996,6.675,0.1266,-0.0887,-0.0067,-0.0312,2.705
92,detect_taxa,0.5039,0.5116,-0.1998,-0.8899,-0.5967,-0.1101,0.001996,0.001996,0.053892,0.001996,0.001996,0.291417,3.89,0.0633,-0.0978,-0.0045,-0.0158,-0.465
93,detect_taxa,0.7965,0.8287,0.2703,-0.5665,-0.7163,1.4288,0.001996,0.001996,0.005988,0.001996,0.001996,0.001996,6.405,0.1106,0.138,-0.0029,-0.0191,7.04
94,detect_taxa,0.9488,1.1452,0.1938,-0.8977,-1.291,1.2185,0.001996,0.001996,0.041916,0.001996,0.001996,0.001996,7.79,0.1553,0.1078,-0.0045,-0.0377,6.39
95,detect_taxa,0.7778,0.827,-0.1197,-1.0284,-0.917,0.9404,0.001996,0.001996,0.217565,0.001996,0.001996,0.001996,5.995,0.1042,-0.0617,-0.0057,-0.0281,4.55
96,detect_taxa,0.4137,0.4234,0.1007,-0.3387,-0.4017,1.0248,0.001996,0.001996,0.321357,0.001996,0.001996,0.001996,3.19,0.0544,0.0503,-0.0016,-0.0104,4.55
97,detect_taxa,-1.397,-1.328,-1.8965,-1.037,-1.0574,-0.9525,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-10.83,-0.1683,-0.9205,-0.0053,-0.0308,-4.43
98,detect_taxa,1.7274,1.6833,1.2861,0.024,-0.6234,2.161,0.001996,0.001996,0.001996,0.852295,0.001996,0.001996,13.82,0.2496,0.6917,0.0001,-0.0211,10.01
99,detect_taxa,0.4068,0.3658,-0.6626,-1.4532,-0.6435,-0.3043,0.003992,0.001996,0.001996,0.001996,0.001996,0.005988,3.155,0.0463,-0.3447,-0.0075,-0.0181,-1.455
100,detect_taxa,-1.3573,-1.2445,-1.5377,-0.5745,-0.9844,-0.1273,0.001996,0.001996,0.001996,0.001996,0.001996,0.233533,-10.515,-0.1481,-0.7507,-0.0028,-0.0287,-0.59
101,detect_taxa,-0.3864,-0.3006,-0.9214,-1.0094,-0.9046,-0.4195,0.001996,0.001996,0.001996,0.001996,0.001996,0.003992,-3.07,-0.04,-0.4988,-0.005,-0.0245,-2.15
102,detect_taxa,1.481,1.5311,0.9327,-0.3762,-0.4916,1.2924,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,12.58,0.2166,0.5109,-0.0019,-0.0138,6.475
103,detect_taxa,0.1258,0.1351,-0.4507,-0.8195,-0.6409,-0.0874,0.229541,0.177645,0.001996,0.001996,0.001996,0.41517,0.985,0.0174,-0.2367,-0.0042,-0.0189,-0.43
104,detect_taxa,0.0963,0.1104,0.0846,0.0285,-0.1798,0.2819,0.417166,0.269461,0.409182,0.762475,0.081836,0.015968,0.79,0.0144,0.0449,0.0001,-0.0053,1.36
105,detect_taxa,-0.2464,-0.1833,-0.693,-0.7832,-0.7321,0.1608,0.015968,0.077844,0.001996,0.001996,0.001996,0.135729,-1.95,-0.0232,-0.3472,-0.0037,-0.0181,0.77
106,detect_taxa,1.8225,1.8879,0.633,-1.0061,-1.0226,1.0247,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,13.375,0.2419,0.3275,-0.0056,-0.0266,4.995
107,detect_taxa,-0.2637,-0.1954,-0.8578,-0.9674,-0.8316,-0.2519,0.007984,0.051896,0.001996,0.001996,0.001996,0.023952,-2.035,-0.0247,-0.4225,-0.0047,-0.023,-1.23
108,detect_taxa,1.4342,1.6584,0.9093,-0.3272,-0.8345,1.9172,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,11.06,0.2097,0.459,-0.0017,-0.0244,8.995
109,detect_taxa,-0.9551,-0.8713,-1.4348,-1.0546,-0.8478,-0.6788,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.025,-0.1115,-0.7723,-0.0051,-0.0224,-3.35
110,detect_taxa,0.6937,0.7517,-0.0404,-0.9519,-0.893,0.4787,0.001996,0.001996,0.712575,0.001996,0.001996,0.001996,5.3,0.0955,-0.0207,-0.0044,-0.0243,2.405
111,detect_taxa,1.6788,1.5898,1.0945,-0.2723,-0.3891,1.5686,0.001996,0.001996,0.001996,0.003992,0.001996,0.001996,14.01,0.2415,0.5985,-0.0014,-0.0113,7.2
112,detect_taxa,-0.8639,-0.7132,-1.0228,-0.53,-0.8487,0.2928,0.001996,0.001996,0.001996,0.001996,0.001996,0.003992,-6.855,-0.091,-0.5579,-0.0028,-0.0247,1.51
113,detect_taxa,0.0823,0.1019,-0.6674,-1.1504,-0.8298,-0.029,0.407186,0.287425,0.001996,0.001996,0.001996,0.792415,0.615,0.0126,-0.3317,-0.0054,-0.0222,-0.14
114,detect_taxa,1.8468,1.8885,1.0479,-0.647,-0.5247,1.1156,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,14.385,0.2568,0.5283,-0.0035,-0.0143,5.605
115,detect_taxa,0.8835,0.9357,0.2964,-0.6395,-1.0035,1.3661,0.001996,0.001996,0.005988,0.001996,0.001996,0.001996,7.075,0.1289,0.1509,-0.0031,-0.0292,6.255
116,detect_taxa,0.8724,0.8143,-0.376,-1.6919,-0.8517,-0.1108,0.001996,0.001996,0.001996,0.001996,0.001996,0.259481,7.315,0.1109,-0.2073,-0.0092,-0.0241,-0.56
117,detect_taxa,0.4392,0.4406,-0.0244,-0.5938,-0.3909,0.0804,0.001996,0.001996,0.812375,0.001996,0.001996,0.497006,3.505,0.0576,-0.0123,-0.0029,-0.0097,0.405
118,detect_taxa,0.0949,0.1417,-0.4853,-0.9053,-0.8049,0.5076,0.297405,0.125749,0.001996,0.001996,0.001996,0.001996,0.8,0.0204,-0.2531,-0.0045,-0.0236,2.35
119,detect_taxa,1.5706,1.6159,0.5791,-0.9419,-0.7509,0.9171,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,12.615,0.223,0.312,-0.0051,-0.0212,4.645
120,detect_taxa,1.7406,1.8251,0.7735,-0.8984,-0.7668,1.0076,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,13.245,0.2299,0.3887,-0.0047,-0.0224,4.68
121,detect_taxa,-0.4346,-0.276,-0.8923,-0.8077,-0.4915,-0.5596,0.001996,0.007984,0.001996,0.001996,0.001996,0.001996,-3.295,-0.0348,-0.4316,-0.0039,-0.013,-2.66
122,detect_taxa,0.3524,0.3841,-0.4171,-1.0812,-0.917,0.3399,0.001996,0.001996,0.001996,0.001996,0.001996,0.003992,2.84,0.0511,-0.2018,-0.0054,-0.0252,1.685
123,detect_taxa,0.9654,1.0478,0.0727,-0.9895,-0.8956,0.6692,0.001996,0.001996,0.479042,0.001996,0.001996,0.001996,8.15,0.1453,0.0402,-0.0057,-0.0246,3.55
124,detect_taxa,0.6209,0.6419,0.071,-0.7243,-0.643,0.7476,0.001996,0.001996,0.48503,0.001996,0.001996,0.001996,5.045,0.0883,0.0368,-0.0035,-0.017,3.625
125,detect_taxa,0.7866,0.8738,-0.0237,-0.9526,-0.9732,0.6256,0.001996,0.001996,0.822355,0.001996,0.001996,0.001996,6.225,0.1157,-0.0121,-0.0051,-0.027,2.885
126,detect_taxa,-1.2341,-1.1667,-1.9635,-1.4885,-1.2629,-0.6036,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-9.845,-0.1413,-1.0347,-0.0076,-0.036,-3.065
127,detect_taxa,0.1068,0.2219,-0.2346,-0.4728,-0.9682,1.1462,0.341317,0.021956,0.01996,0.001996,0.001996,0.001996,0.855,0.0283,-0.1261,-0.0025,-0.0286,5.725
128,detect_taxa,0.9515,0.9361,0.3099,-0.659,-0.5934,0.9126,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,7.975,0.1324,0.1679,-0.0037,-0.0175,4.69
129,detect_taxa,1.3291,1.2675,-0.1428,-1.695,-1.0094,0.0486,0.001996,0.001996,0.183633,0.001996,0.001996,0.670659,9.255,0.147,-0.0667,-0.0085,-0.0267,0.22
130,detect_taxa,-0.5679,-0.4655,-0.7692,-0.5239,-0.731,-0.0955,0.001996,0.001996,0.001996,0.001996,0.001996,0.365269,-4.625,-0.0637,-0.4241,-0.0028,-0.0195,-0.465
131,detect_taxa,-0.7371,-0.7036,-1.2174,-1.04,-0.6827,-0.6364,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-5.735,-0.0881,-0.6642,-0.0053,-0.0185,-3.25
132,detect_taxa,0.0532,0.1769,-0.3397,-0.6389,-1.2509,0.9771,0.576846,0.103792,0.001996,0.001996,0.001996,0.001996,0.45,0.0246,-0.1824,-0.0031,-0.0332,4.715
